order_id,customer_id,customer_name,customer_email,customer_phone,product_id,product_name,product_category,product_price,quantity,order_date,shipping_address,shipping_city,shipping_state,shipping_zip,total_price,payment_status,order_status,discount,sales_tax,promo_code
13,13,Michelle Golden,bwilliams@example.com,346.805.9958x70955,3,T-shirt,Apparel,19.99,1,2025-10-18,"7003 Brittney Mountains Suite 018
West Calvinmouth, MS 83376",Stevensbury,Oklahoma,43760,16.9547577997321,Failed,Shipped,0.15183802902790886,1.0882009443941805,
14,14,Lance Schneider,richardsonkristin@example.com,001-808-707-1028x68461,2,Smartphone,Electronics,499.99,1,2025-08-02,"3817 Rodriguez Lake
Davidfort, MN 37005",Brendafurt,Oklahoma,28632,443.06226405271184,Pending,Pending,0.11385774904955734,37.299919344951604,
15,15,Jessica Luna,danieljones@example.com,939.782.6328,1,Laptop,Electronics,799.99,5,2025-04-28,"0512 David Crest
Christopherside, AZ 93432",Morrisshire,Alabama,47821,3725.1896336841733,Paid,Cancelled,0.06869095021583438,328.48116216779215,four
16,16,Adrian Sanchez,rogerbrooks@example.com,272-736-8912,2,Smartphone,Electronics,499.99,2,2025-08-29,"157 Hinton Locks Apt. 856
Lopezmouth, AR 29620",Tatetown,Delaware,41479,965.2440088098108,Paid,Shipped,0.03473668592390761,91.7327482606829,
17,17,Elizabeth Lopez,tmiller@example.net,387-961-0176,1,Laptop,Electronics,799.99,5,2025-03-30,"4119 Denise Isle Apt. 465
Jacksontown, IN 95083",Hamiltonville,New Jersey,83456,3745.6426850918883,Pending,Shipped,0.06357762344732097,351.85816854982426,
18,18,Brandon Bass,julie09@example.com,001-353-287-6327x6714,1,Laptop,Electronics,799.99,4,2025-09-01,"0443 Flores Pine
Faithburgh, DC 17601",New Courtneybury,Montana,14825,2678.4019666869217,Failed,Pending,0.16298892277187157,223.87981062320787,
19,19,Richard Brock,ppage@example.org,533-288-4867x1052,2,Smartphone,Electronics,499.99,4,2025-06-03,"001 Aaron Island
Kathymouth, NE 78376",Lake Matthew,Utah,27302,1925.0127576843292,Pending,Shipped,0.03747437064524832,160.26936086975297,
20,20,Abigail Clayton,russell05@example.com,(970)625-4171x0765,2,Smartphone,Electronics,499.99,1,2025-09-15,"17597 Daugherty Divide Suite 095
Brandonburgh, NC 20047",Geraldfurt,North Dakota,58373,412.12024965914503,Pending,Shipped,0.1757430155420208,25.58047351429113,
21,21,Timothy Estrada,crawfordnicholas@example.net,539.272.4860x4188,1,Laptop,Electronics,799.99,4,2025-01-13,"1707 Johnson Trail Suite 838
Johnsonview, NY 15041",Charlesville,Missouri,98417,2885.9204732155963,Failed,Pending,0.09813857885236188,180.85798426168893,
22,22,Jared Green,stephenturner@example.org,355-782-5372x10789,3,T-shirt,Apparel,19.99,5,2025-09-14,"056 Romero Wall
East William, VT 13546",Ashleyfort,Virginia,31011,87.73897233952098,Pending,Cancelled,0.12217136228593309,4.6362381366259795,
23,23,Thomas Thompson,jacobsheather@example.com,552-463-3517,3,T-shirt,Apparel,19.99,2,2025-05-29,"355 Russell Port
Bryantshire, OH 73747",East Luisstad,Washington,75749,37.2878758856004,Pending,Cancelled,0.06733677124561269,2.7097429638256707,
24,24,Michael Anderson,padillameghan@example.com,793.616.7812x422,1,Laptop,Electronics,799.99,1,2025-01-25,"7329 Darryl Views
Port Victoriaport, GU 77126",Brittanyfort,Utah,37935,797.3909130938965,Pending,Cancelled,0.003248899243869896,63.530192600607045,
25,25,Jessica Turner,wupatrick@example.net,001-826-214-5965x52786,1,Laptop,Electronics,799.99,4,2025-08-13,"65518 Hernandez Turnpike
Port Patrick, VT 39700",South Michael,Connecticut,99707,2486.2121414063245,Pending,Pending,0.22304899392294764,182.77588495143755,
26,26,Michael Brown,sabrina64@example.net,982-433-8182,2,Smartphone,Electronics,499.99,4,2025-02-14,"681 Lawrence Lodge
Blevinsfort, MI 27001",Wrightmouth,South Dakota,67619,1863.391534019631,Pending,Pending,0.06828559870215856,161.11931029271696,
27,27,Scott Buck,jmoody@example.org,+1-742-880-4926x79849,1,Laptop,Electronics,799.99,4,2025-07-21,"14379 Suzanne Lock
Thomasmouth, WY 23448",Port Abigailside,Connecticut,73647,2950.4588226496116,Paid,Pending,0.07797009254815325,237.42040620047064,
28,28,Adrienne Harrington,crawforddavid@example.com,+1-597-807-5998x7429,4,Headphones,Electronics,59.99,1,2025-02-14,"882 Brown Burgs
Dianaton, TN 03693",South Katie,Mississippi,78765,42.3326412528706,Paid,Shipped,0.29433836884696446,4.229680834902328,
29,29,Mark Walker,drewolson@example.com,(694)901-2582x88028,4,Headphones,Electronics,59.99,4,2025-10-16,"12981 Mikayla Ports Apt. 051
North Alyssahaven, GA 82996",Sheltonport,Oregon,25859,194.53588359819784,Failed,Pending,0.18929870145775196,9.876202254856036,
30,30,Julia Smith,lroberson@example.com,372.670.3162,2,Smartphone,Electronics,499.99,4,2025-04-19,"Unit 4878 Box 4303
DPO AE 59680",Juarezborough,California,27051,1591.4009623894872,Paid,Cancelled,0.204283604477346,94.87017147039683,
31,31,Douglas Dorsey,timothy38@example.com,572.787.9468,3,T-shirt,Apparel,19.99,1,2025-01-18,"3786 Robert Station Apt. 049
Lake Barbarastad, MT 69698",South Gabriel,Virginia,24197,16.506087052612443,Pending,Shipped,0.17428278876375974,1.0282075711301526,
32,32,Ryan Mckenzie,rogersashley@example.org,(575)206-8823x802,1,Laptop,Electronics,799.99,2,2025-06-22,"728 Werner Squares
East Karen, PA 57224",Bergerburgh,Idaho,19808,1529.4017148974558,Failed,Shipped,0.044111979588835025,135.0838147761774,
33,33,Michael Ho,eric76@example.com,601-965-9402x10871,1,Laptop,Electronics,799.99,2,2025-03-29,"8961 Campbell Parkway Suite 098
North Raymondfort, ND 25111",Colintown,Oklahoma,06165,1161.3983571992076,Pending,Pending,0.27411695321241036,77.41291921455287,direction
34,34,John Taylor,cwaters@example.net,001-567-477-1403x80460,3,T-shirt,Apparel,19.99,3,2025-05-16,"PSC 9495, Box 4910
APO AA 70109",North Marilynville,Massachusetts,46341,55.54405696727726,Failed,Shipped,0.07380261852130628,3.7344220805814636,
35,35,George Pineda,shellysmith@example.com,968.528.0575,3,T-shirt,Apparel,19.99,1,2025-08-03,"2171 Angela Plaza
East Carlosport, IA 94153",East Paul,New Hampshire,66320,16.458462217924072,Pending,Pending,0.17666522171465365,1.4706409215631542,
36,36,Shelby Martinez,reyesfrank@example.org,+1-350-306-6808x179,2,Smartphone,Electronics,499.99,2,2025-02-03,"52025 Tiffany Bypass Apt. 516
Riveraview, SC 29514",Campbellhaven,Florida,32245,984.5651910045253,Failed,Pending,0.015415117297820623,66.33552568107464,
37,37,Jennifer Robinson,jessicavasquez@example.com,370-704-9880,1,Laptop,Electronics,799.99,4,2025-05-19,"0600 Gutierrez Points
Smithfort, NY 91101",Lake Ashleymouth,Oregon,43799,3048.873748655357,Pending,Shipped,0.04721504373324765,273.65250296151646,successful
38,38,Carolyn Owens,paula08@example.org,+1-692-633-7156x30724,2,Smartphone,Electronics,499.99,2,2025-06-03,"8316 Massey Fall
East Jameschester, WY 12614",South Michael,California,74929,753.328788214285,Paid,Shipped,0.24665614490861304,41.13625366665446,
39,39,Diane Phillips,millerjennifer@example.net,341.995.2559,1,Laptop,Electronics,799.99,3,2025-05-19,"12556 Brandi Falls
Hodgeston, CT 42010",South Donna,Massachusetts,71285,2237.9361431062357,Failed,Cancelled,0.0675149509759557,118.2492100221517,
40,40,Wendy Wade,daviddavis@example.com,001-980-525-9199x2144,4,Headphones,Electronics,59.99,3,2025-03-03,"610 Tanner Ferry
Pierceberg, NE 40239",Morrisburgh,Massachusetts,49193,176.86416508027793,Paid,Pending,0.017257514695349686,12.317010030541692,
41,41,Sean Durham,barnetttimothy@example.org,581.992.6304x9323,3,T-shirt,Apparel,19.99,1,2025-02-05,"61722 Samantha Villages Apt. 043
Hullview, NH 57956",Christopherhaven,North Carolina,04784,16.285626924045264,Pending,Shipped,0.1853113094524629,1.1103695251110977,respond
42,42,Sarah Arellano,uchapman@example.com,+1-526-463-8620x702,3,T-shirt,Apparel,19.99,5,2025-06-09,"87438 Christine Harbor Apt. 203
North Robertport, MP 73061",Port Anthonymouth,Nevada,02277,83.86177025225946,Pending,Pending,0.1609627788668387,7.889204303254765,
43,43,Lisa Johnson,shawsarah@example.com,(673)543-5069,4,Headphones,Electronics,59.99,3,2025-07-01,"6339 Robin Island Apt. 979
Howardtown, MO 35573",East Amy,Montana,59893,138.31729725231816,Paid,Shipped,0.23144247790010464,12.244391974682577,
44,44,Alyssa Cruz,richardmacias@example.net,986.602.4767x78447,3,T-shirt,Apparel,19.99,4,2025-10-19,"6855 Emma Skyway Suite 907
East Nicoleport, CA 37265",South Lisa,Washington,74241,60.00163848948038,Pending,Cancelled,0.24960432104201624,4.289628703079902,
45,45,Elizabeth Melendez,danaconner@example.net,270-358-4588x07468,1,Laptop,Electronics,799.99,1,2025-09-20,"485 James Center
Ariasburgh, CT 89756",Wallaceburgh,Massachusetts,60680,774.8166136788265,Pending,Pending,0.031467126240544895,54.537117040289985,
46,46,Andrew Douglas,rwright@example.org,(998)895-9553x87776,4,Headphones,Electronics,59.99,2,2025-07-27,"USNS Brown
FPO AA 52480",South Veronicafurt,Florida,43835,100.13331668845376,Pending,Pending,0.1654165970290569,6.983994083977442,
47,47,Joshua Acosta,mhuerta@example.org,7614249968,3,T-shirt,Apparel,19.99,3,2025-08-20,"82159 Carlos Shoals Apt. 981
West Robinfort, WA 42737",North Christopherfurt,Florida,97103,43.10058592308751,Paid,Shipped,0.28129755005690327,3.957984006389612,
48,48,Robert Randall,castillogregory@example.org,362-351-0212x71853,2,Smartphone,Electronics,499.99,3,2025-09-16,"858 Dawn Locks
Petersonhaven, MN 89218",Deborahburgh,South Dakota,99487,1105.5949139469108,Pending,Shipped,0.26292198247504245,60.002151522586836,
49,49,James Wade,mitchell05@example.org,471.740.3246x5299,1,Laptop,Electronics,799.99,2,2025-03-12,"317 Frank Street
South Michaelburgh, MA 94210",Colehaven,Utah,67715,1214.9902981598427,Failed,Cancelled,0.24062157141974105,65.70017090300519,collection
50,50,Katherine Valencia,troy66@example.net,9087685176,2,Smartphone,Electronics,499.99,4,2025-03-12,"00541 Angela Harbor
Gibsonside, WV 79581",Kimberlyborough,North Dakota,95876,1940.7380260319321,Pending,Cancelled,0.02961157921561831,106.25045899616693,
51,51,Robert Diaz,lmccarty@example.org,521-937-1502x91367,4,Headphones,Electronics,59.99,2,2025-04-08,"9530 Elizabeth Lodge Apt. 847
Roberttown, WY 70115",North Charles,Mississippi,82307,108.45093474175837,Failed,Cancelled,0.09609155907852658,7.611849052335656,
52,52,Michael Romero,paynewalter@example.org,+1-496-915-5070x04038,2,Smartphone,Electronics,499.99,4,2025-06-06,"489 Camacho Forge
Michaelberg, WA 12577",North Erinburgh,Mississippi,61459,1841.8236642656282,Failed,Pending,0.07906974926217115,143.14126219078105,
53,53,Gregory Sellers,shannondustin@example.net,446.304.3105x879,1,Laptop,Electronics,799.99,1,2025-07-11,"3972 Joseph Divide
East Willieview, CO 64852",Kaneport,Montana,78406,563.8047770728712,Paid,Cancelled,0.29523521909914974,42.89667344325184,
54,54,Angela Thomas,brett66@example.net,(605)916-6667,4,Headphones,Electronics,59.99,2,2025-02-19,"560 Herring Knoll
Michelleside, MO 21553",Morganland,Utah,71660,111.63557396466028,Failed,Cancelled,0.06954847504033779,6.215349777134281,
55,55,Robin Ramsey,brooke65@example.org,960-725-5397x762,3,T-shirt,Apparel,19.99,4,2025-05-23,"897 Mandy Isle
Matthewfurt, IN 91068",New Carmen,Montana,53995,70.86584997353809,Failed,Pending,0.11373374220187467,4.622778937447221,go
56,56,William Thomas,htaylor@example.net,508-810-8221x755,2,Smartphone,Electronics,499.99,4,2025-09-27,"243 Johns Road Suite 014
Rodriguezmouth, OK 78393",Port Reginastad,South Dakota,75638,1627.0277574000281,Failed,Shipped,0.18646985069699987,101.1218012060263,
57,57,Christopher Doyle,marychavez@example.org,224-213-1381x205,3,T-shirt,Apparel,19.99,5,2025-03-08,"2079 Justin Trafficway Suite 913
Richardland, LA 33093",Sheilaview,South Dakota,49711,84.61382851277344,Failed,Cancelled,0.1534384340893103,5.777879772540794,
58,58,John Rogers,carrolldeborah@example.org,001-238-443-3146x147,4,Headphones,Electronics,59.99,1,2025-08-09,"10765 Sara Wall
Stevenport, PA 51573",East David,Mississippi,56509,42.904823955284485,Paid,Pending,0.2848004008120606,3.961010027623123,finish
59,59,Kathleen Yang,icarroll@example.com,275-746-7344,1,Laptop,Electronics,799.99,2,2025-10-25,"797 Joel Mountains Apt. 739
New Lisaburgh, VA 27446",North Anthonymouth,Wisconsin,37746,1207.6161020357476,Paid,Pending,0.24523050160892776,84.79439869199068,
60,60,Lucas Morrow,karenavila@example.com,(492)310-0828,2,Smartphone,Electronics,499.99,3,2025-08-20,"455 Todd Extensions Apt. 198
Webstermouth, SD 97097",Millsview,Montana,10841,1399.3112446400573,Paid,Cancelled,0.06710717905020948,72.0984398556372,
61,61,Angel Jones,kgordon@example.com,+1-514-292-4351,1,Laptop,Electronics,799.99,3,2025-03-05,"631 Simmons Lake
Johnathanbury, AL 15101",Riveraland,Massachusetts,51012,2388.6974887302713,Paid,Cancelled,0.004696938407450435,224.32346189330244,
62,62,Kenneth Turner,scottzuniga@example.org,001-735-804-1472x370,1,Laptop,Electronics,799.99,4,2025-09-12,"86087 Spencer Route Suite 878
Kaiserfurt, NE 08489",North Ashleymouth,Wyoming,01336,3171.9876106129964,Failed,Cancelled,0.008741480951950509,204.17811216663165,
63,63,Roger Perez,deborah68@example.net,+1-694-706-1052,4,Headphones,Electronics,59.99,5,2025-03-31,"8372 Terry Court
Matthewtown, AK 13414",New Bonnieberg,Delaware,77223,243.1779863825397,Failed,Cancelled,0.18927159065664376,16.311289170870648,
64,64,Kimberly Perry,latashawright@example.net,001-564-927-5372x6836,2,Smartphone,Electronics,499.99,3,2025-01-23,"39735 Watson Mountains Suite 243
Kanebury, TN 96429",Michelleview,Iowa,67642,1345.0913705758387,Pending,Cancelled,0.1032544847058017,104.08699883016489,
65,65,Nicholas Rodriguez,jasmine25@example.org,001-881-342-7332x15992,2,Smartphone,Electronics,499.99,3,2025-06-28,"87294 Nancy Motorway Suite 208
North Brendamouth, NJ 51303",South Jordanside,Colorado,18681,1481.7651187531085,Failed,Pending,0.012136830234532391,79.25178085536197,
66,66,Mary Ball,jaimegregory@example.com,(934)596-2168,4,Headphones,Electronics,59.99,4,2025-08-08,"4003 Lee Mills Suite 876
Jessicaport, PR 68710",Sarahbury,Hawaii,32746,194.23587467366474,Paid,Pending,0.19054894701756647,10.282945943913148,
67,67,Catherine Brooks,rogersashley@example.net,944.446.3124,4,Headphones,Electronics,59.99,4,2025-06-07,"89267 Daniel Keys
Ryanmouth, HI 24262",Port Ronaldmouth,Texas,32428,191.8593834846779,Failed,Cancelled,0.20045264425455123,14.214380212516588,join
68,68,Susan Brown,timothy61@example.net,292-243-6771,2,Smartphone,Electronics,499.99,2,2025-05-02,"9494 William Land Suite 137
Williamside, NE 96686",Gonzalesburgh,Alaska,01597,993.1427312571207,Paid,Cancelled,0.0068374054909891785,96.68323333970234,
69,69,Gene Figueroa,taylorstanley@example.net,+1-619-750-5947x842,4,Headphones,Electronics,59.99,3,2025-02-12,"288 Kimberly Hill Suite 296
West Daniel, VI 75806",Annaburgh,New York,93544,169.7715015737726,Paid,Pending,0.056667769218355146,16.556259800015006,various
70,70,Anna Palmer,nmitchell@example.com,+1-528-446-0745x33014,3,T-shirt,Apparel,19.99,5,2025-08-19,"12513 Singh Mission
North Kevin, KS 89474",Sarahborough,Iowa,12233,83.56106167119435,Paid,Shipped,0.1639713689725427,5.632430166686406,
71,71,Joshua Williams,joemckinney@example.com,+1-284-699-8710x2957,3,T-shirt,Apparel,19.99,1,2025-01-23,"465 Ethan Port Apt. 926
Taylorchester, NV 49690",South Jared,Rhode Island,80481,15.494958958086444,Paid,Pending,0.22486448433784667,1.0144979417695803,
72,72,Barry Contreras,zamorakrystal@example.org,+1-215-288-0538x399,3,T-shirt,Apparel,19.99,5,2025-07-16,"53778 Lee Points
Schmidtmouth, CO 07498",Fosterfurt,Utah,45433,79.4733313455001,Pending,Shipped,0.20486912110555164,7.44376371329141,
73,73,Trevor Bradley II,richard10@example.org,539.932.1348,1,Laptop,Electronics,799.99,2,2025-08-03,"3231 Lee Village Apt. 357
South Sarah, PW 55203",Georgechester,South Dakota,44800,1385.9062210067782,Failed,Cancelled,0.13379778434306785,104.84420802141163,
74,74,Samantha Brooks,ethanbuck@example.net,(540)589-5000,1,Laptop,Electronics,799.99,4,2025-01-07,"9428 Owens Extensions
Cohenside, AZ 13513",Brownberg,Georgia,93343,2288.6929650597203,Pending,Cancelled,0.2847745081001886,154.06219269698076,
75,75,Justin Hamilton,dayangela@example.net,001-637-667-6091x23316,2,Smartphone,Electronics,499.99,2,2025-03-02,"3017 Mary Views
Port Cindy, VT 62416",North Shannonside,Georgia,62365,795.2802048340151,Failed,Pending,0.20470388924376984,74.31286970780316,
76,76,Miranda Edwards,lindseyjulie@example.org,001-698-613-8556x51463,2,Smartphone,Electronics,499.99,1,2025-10-07,"PSC 6844, Box 4802
APO AP 52604",New Crystalshire,Maryland,14257,434.6379776668999,Failed,Pending,0.13070665879937615,40.36296732016328,
77,77,Mrs. Taylor Brown,mendozacharles@example.net,(539)531-0719x6215,1,Laptop,Electronics,799.99,5,2025-01-15,"1940 Sanchez Locks
Gregoryton, MA 43802",East Jacobland,Louisiana,44110,3956.1740484644165,Failed,Pending,0.010944124685454314,286.4123835518577,
78,78,Dennis Bowen,cooperjonathan@example.org,3378660145,2,Smartphone,Electronics,499.99,3,2025-08-28,"0668 Anderson Hills
Watsonland, TN 17772",Hendersontown,Virginia,38637,1110.647660870781,Failed,Pending,0.2595534171544891,78.70714379129134,computer
79,79,Ryan Gonzalez,michellewillis@example.net,283.525.3052x5758,2,Smartphone,Electronics,499.99,5,2025-05-19,"25016 Jared Roads Apt. 227
South Emily, SC 32141",South Beverlystad,Oklahoma,96161,2032.443392150964,Failed,Shipped,0.18700638326727964,191.3959101615413,character
80,80,James Mccoy,singletonmichael@example.org,482-681-3166x91390,2,Smartphone,Electronics,499.99,2,2025-06-20,"USS Frazier
FPO AP 30514",Edwardsfurt,Michigan,08022,905.2279382751206,Failed,Shipped,0.09475395680401559,90.26262931657685,camera
81,81,Christian Jensen,shannon39@example.org,001-228-283-1185x242,3,T-shirt,Apparel,19.99,5,2025-06-21,"91538 Randall Pines
Port Josephport, UT 02784",South Eileenville,Arizona,27695,70.9676960598433,Paid,Pending,0.28996802341327355,6.825085286957562,
82,82,Joseph Robertson MD,jameswilliams@example.net,263-784-2714x11886,1,Laptop,Electronics,799.99,2,2025-09-13,"1265 Monica Knoll
South Courtney, VA 81369",West Monicastad,Ohio,94151,1135.8160092128094,Failed,Shipped,0.29010612056850127,88.1708811250961,young
83,83,Jessica Lee,fowlersteven@example.net,(354)363-3790x3500,2,Smartphone,Electronics,499.99,5,2025-07-17,"8357 Morton Skyway Apt. 436
Williammouth, ND 09467",Lauriefort,Maryland,07043,2402.10957634628,Paid,Shipped,0.03913695220053195,123.05661746670161,manage
84,84,Joshua Newman,natasha82@example.com,(573)868-8459x0539,2,Smartphone,Electronics,499.99,2,2025-06-21,"6101 Jeremiah Divide
Janetville, CA 81174",New Richardshire,New Hampshire,19143,763.1252090761926,Paid,Shipped,0.23685952811436967,66.32711282042551,
85,85,Tony Burns,dyervirginia@example.com,3693169084,3,T-shirt,Apparel,19.99,2,2025-09-15,"12019 Fox Trail
West John, FM 45236",North Lindastad,Missouri,01857,31.905211696922347,Pending,Shipped,0.20197069292340294,2.3235009117371455,
86,86,Emily Thompson,ana20@example.net,625-327-0306x30376,1,Laptop,Electronics,799.99,5,2025-08-23,"Unit 0277 Box 3459
DPO AA 99230",Johnborough,Hawaii,10629,2918.6105173456394,Paid,Shipped,0.2703382498917138,152.4506117629033,
87,87,Kristine Mullen,maria04@example.net,(719)520-1404,3,T-shirt,Apparel,19.99,4,2025-01-21,"68175 Kayla Via
Garciahaven, NV 26322",Arnoldbury,Michigan,09303,58.316807626113324,Paid,Cancelled,0.2706752422947308,5.436737071543507,
88,88,John Hahn,sue77@example.org,(931)210-1621,2,Smartphone,Electronics,499.99,1,2025-05-25,"USCGC Rodriguez
FPO AA 40576",North Jamesburgh,Rhode Island,98071,451.17610595662677,Pending,Pending,0.09762974068156001,29.0130469936273,
89,89,Kelly Lewis,ubrooks@example.com,+1-993-327-3860x83944,3,T-shirt,Apparel,19.99,1,2025-08-02,"53911 Tran Street Apt. 040
Edwardsview, SD 86539",Tinastad,West Virginia,61951,18.73077273699931,Failed,Cancelled,0.06299285957982438,1.70893445118098,
90,90,Christopher Henderson,nsmith@example.net,(525)620-7797x39847,3,T-shirt,Apparel,19.99,5,2025-03-06,"2635 Mooney Glen Suite 442
Port Peggyside, NV 33263",Skinnerchester,Tennessee,51507,95.68954490785268,Failed,Pending,0.042625863853399844,6.529549954348959,
91,91,Gregory Hess,sandra25@example.net,474-335-5491x75660,1,Laptop,Electronics,799.99,4,2025-03-04,"44904 Harris Mountain
Meagantown, NJ 13093",Scottview,Maryland,53127,2710.8016512174063,Pending,Pending,0.15286389479324547,191.54993142082853,
92,92,Marcus Crane,villachristina@example.org,381-793-7390,3,T-shirt,Apparel,19.99,1,2025-07-01,"27011 Jones Center Apt. 968
South Beth, NC 84857",West Pamelaton,Massachusetts,69186,14.481465619161979,Paid,Cancelled,0.2755645012925473,1.132399764960651,
93,93,Bianca Ross,mclaughlinmichelle@example.com,776.711.3650x42382,4,Headphones,Electronics,59.99,4,2025-04-28,"27332 Stephanie Rapid
West Danielleside, CT 15543",Mccormickport,Minnesota,20066,191.4122280807851,Pending,Cancelled,0.2023161023471199,15.154748643939643,
94,94,Matthew Mccoy,kgriffith@example.net,001-676-603-6884x97209,4,Headphones,Electronics,59.99,2,2025-04-07,"4424 Ashley Dam
Jonathanberg, MI 90784",West Stevenchester,Pennsylvania,65184,117.207531486114,Pending,Shipped,0.02310775557497925,11.406214834364793,
95,95,Travis Short,brandonsandoval@example.com,852.711.0486,3,T-shirt,Apparel,19.99,3,2025-04-27,"0406 Laura Court
Port Jamestown, MH 89651",Sandovalhaven,Nevada,48880,57.956022173666454,Paid,Shipped,0.03358308864988402,5.593857404453353,
96,96,Mrs. Crystal Thomas DVM,ashleymcbride@example.net,(454)691-3300x14352,4,Headphones,Electronics,59.99,4,2025-05-28,"74065 Hicks Squares Suite 233
Richardview, WA 67837",East Robertborough,South Carolina,69794,238.05287754827765,Paid,Cancelled,0.007947668160203236,15.610925384109848,
97,97,James Palmer,etaylor@example.org,(794)317-5982x54352,3,T-shirt,Apparel,19.99,2,2025-08-03,"03327 Julie Cliffs Suite 989
Port Paultown, IN 67518",Adamhaven,Mississippi,33635,34.63600126412875,Pending,Cancelled,0.13366680179767998,2.937187063189874,
98,98,Timothy Myers,ijones@example.net,4658940285,4,Headphones,Electronics,59.99,2,2025-05-09,"1543 Villa Groves Suite 966
North Josephburgh, VA 12992",Cartertown,Mississippi,57983,95.24315096682497,Pending,Cancelled,0.20617477107163718,4.767845305686757,student
99,99,Kenneth Turner,mark48@example.org,001-611-582-8245,1,Laptop,Electronics,799.99,4,2025-08-29,"11180 Patrick Landing Apt. 608
Nathanview, FM 83508",West Samantha,Iowa,69363,3172.5973586798004,Failed,Pending,0.008550932299216118,210.97914581365626,
100,100,Sara Nunez,yjones@example.com,(848)608-8240x98583,4,Headphones,Electronics,59.99,3,2025-07-10,"74012 Christopher Wells
Emilymouth, TX 79970",West Glen,Oregon,43150,169.65514555682543,Failed,Pending,0.05731429928974033,10.992773824988438,
101,101,Shane Velez,ifry@example.org,789-827-1443x47031,1,Laptop,Electronics,799.99,1,2025-10-13,"6195 Fuller Station Suite 631
Castroview, GA 26233",New Sheila,Georgia,33491,679.8079979285693,Failed,Shipped,0.15022938045654413,59.21954994123025,
102,102,Haley Young,irose@example.org,717-612-4393,4,Headphones,Electronics,59.99,2,2025-03-03,"9408 Jones Circle Apt. 546
Melissaport, MO 47746",New Karen,Pennsylvania,64419,93.6095552243695,Failed,Cancelled,0.21979033818661864,5.686878180311645,
